Name,Description
Market Shock Loss Date,Date when a financial loss occurred due to a market shock event
Debt Qualification Indicator,Indicator of whether a debt instrument meets specific qualification criteria
Quantity of Market Shock Impact,The number of records related to market shock impact in the system
Risk Assessment Category,A unique identifier for categorizing the level of risk associated with a market shock event
Risk Assessment Status,Risk assessment status of a market shock impact event
Reciprocal Deposit Indicator,A flag indicating if a reciprocal deposit is present in the system
Market Shock Region,Region affected by a specific market shock event
Regulatory Environment,The regulatory framework governing the financial institution's operations in a specific country
Market Shock Requirement,The amount of funds required to cover potential market shocks in the financial system
Market Shock Recovery,Indicates whether a market shock event has been recovered from
Market Shock Reporting Date,Date when the market shock impact data was reported
Reporting Entity,The specific entity for which the market shock impact is being reported
Reporting Group,Group of cost centers for reporting purposes
Market Shock Impact Reporting Tier Bucket,Categorization of the impact of market shocks on the financial institution
Market Shock Report Date,Date of the market shock impact report
Market Shock Impact Report,A report detailing the impact of market shocks on the financial institution
Repo Rate,The interest rate at which banks can borrow funds from the central bank in the short-term
Repo Type,Type of repurchase agreement in the financial market
Market Shock Requirement Type,The type of requirement that needs to be addressed in response to a market shock event
